Question ID,Question,Possible Responses
MOB1_1,How familiar are you with any of the following object-oriented programming languages? - Kotlin,"0.0, 1.0, 2.0, 3.0"
MOB1_2,How familiar are you with any of the following object-oriented programming languages? - Java,"0.0, 1.0, 2.0, 3.0"
MOB1_3,How familiar are you with any of the following object-oriented programming languages? - Swift,"0.0, 1.0, 2.0, 3.0"
MOB1_4,How familiar are you with any of the following object-oriented programming languages? - Other (please specify),"0.0, 1.0, 2.0, 3.0"
CBI1_1,How familiar are you with using a Unix-based OS? - Familiarity level,"0.0, 1.0, 2.0, 3.0"
B1_1,How familiar are you with any of the following programming languages? - Java,"0.0, 1.0, 2.0, 3.0"
B1_2,How familiar are you with any of the following programming languages? - PHP,"0.0, 1.0, 2.0, 3.0"
B1_3,How familiar are you with any of the following programming languages? - Python,"0.0, 1.0, 2.0, 3.0"
B1_4,How familiar are you with any of the following programming languages? - C#,"0.0, 1.0, 2.0, 3.0"
B1_5,How familiar are you with any of the following programming languages? - Ruby,"0.0, 1.0, 2.0, 3.0"
B1_6,How familiar are you with any of the following programming languages? - Other (please specify),"0.0, 1.0, 2.0, 3.0"
B2_1,How familiar are you with any of the following database technologies? - Oracle,"0.0, 1.0, 2.0, 3.0"
B2_2,How familiar are you with any of the following database technologies? - MySQL,"0.0, 1.0, 2.0, 3.0"
B2_3,How familiar are you with any of the following database technologies? - PostgreSQL,"0.0, 1.0, 2.0, 3.0"
B2_4,How familiar are you with any of the following database technologies? - MongoDB,"0.0, 1.0, 2.0, 3.0"
B2_5,How familiar are you with any of the following database technologies? - Other (please specify),"0.0, 1.0, 2.0, 3.0"
B3_1,How familiar are you with REST APIs? - Familiarity level,"0.0, 1.0, 2.0, 3.0"
B5,Are you interested in the cybersecurity aspect of this field?,"No, No preference, Yes"
DB1_1,How familiar are you with any of the following database technologies? - Oracle,"0.0, 1.0, 2.0, 3.0"
DB1_2,How familiar are you with any of the following database technologies? - MySQL,"0.0, 1.0, 2.0, 3.0"
DB1_3,How familiar are you with any of the following database technologies? - PostgreSQL,"0.0, 1.0, 2.0, 3.0"
DB1_4,How familiar are you with any of the following database technologies? - MongoDB,"0.0, 1.0, 2.0, 3.0"
DB1_5,How familiar are you with any of the following database technologies? - Other (please specify),"0.0, 1.0, 2.0, 3.0"
DB3,Are you interested in the cybersecurity aspect of this field?,"No, No preference, Yes"
NET1_1,How familiar are you with TCP/IP and network programming principles? - Familiarity level,"0.0, 1.0, 2.0, 3.0"
NET2,Are you interested in the cybersecurity aspect of this field?,"No, No preference, Yes"
ML1_1,How familiar are you with Python? - Familiarity level,"0.0, 1.0, 2.0, 3.0"
ML2_1,"How familiar are you with any object-oriented programming language, C++ for example? - Familiarity level","0.0, 1.0, 2.0, 3.0"
ML3_1,How familiar are you with any of the following ML-based frameworks? - PyTorch,"0.0, 1.0, 2.0, 3.0"
ML3_2,How familiar are you with any of the following ML-based frameworks? - TensorFlow,"0.0, 1.0, 2.0, 3.0"
ML3_3,How familiar are you with any of the following ML-based frameworks? - Other (please specify),"0.0, 1.0, 2.0, 3.0"
ML4_1,How familiar are you with any of the following cloud-based technologies? - AWS,"0.0, 1.0, 2.0, 3.0"
ML4_2,How familiar are you with any of the following cloud-based technologies? - Docker,"0.0, 1.0, 2.0, 3.0"
ML4_3,How familiar are you with any of the following cloud-based technologies? - Other (please specify),"0.0, 1.0, 2.0, 3.0"
DS1_1,How familiar are you with any of the following languages? - Python,"0.0, 1.0, 2.0, 3.0"
DS1_2,How familiar are you with any of the following languages? - JavaScript,"0.0, 1.0, 2.0, 3.0"
DS1_3,How familiar are you with any of the following languages? - SQL,"0.0, 1.0, 2.0, 3.0"
DS1_4,How familiar are you with any of the following languages? - R,"0.0, 1.0, 2.0, 3.0"
DS1_5,How familiar are you with any of the following languages? - Other,"0.0, 1.0, 2.0, 3.0"
DS2_1,How familiar are you with any of the following data visualization tools? - Tableau,"0.0, 1.0, 2.0, 3.0"
DS2_2,How familiar are you with any of the following data visualization tools? - Power BI,"0.0, 1.0, 2.0, 3.0"
DS2_3,How familiar are you with any of the following data visualization tools? - Other,"0.0, 1.0, 2.0, 3.0"
DS3_1,How familiar are you with any of the following data processing tools? - Spark,"0.0, 1.0, 2.0, 3.0"
DS3_2,How familiar are you with any of the following data processing tools? - Hadoop,"0.0, 1.0, 2.0, 3.0"
DS3_3,How familiar are you with any of the following data processing tools? - Other (please specify),"0.0, 1.0, 2.0, 3.0"
priority1,Your priority for proposed project 1:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority2,Your priority for proposed project 2:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority3,Your priority for proposed project 3:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority4,Your priority for proposed project 4:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority5,Your priority for proposed project 5:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority6,Your priority for proposed project 6:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority7,Your priority for proposed project 7:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority8,Your priority for proposed project 8:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority9,Your priority for proposed project 9:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority10,Your priority for proposed project 10:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority11,Your priority for proposed project 11:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority12,Your priority for proposed project 12:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
priority13,Your priority for proposed project 13:,"1 - Highest Priority, 2 - Average Priority, 3 - Lowest Priority"
partners_preference,Would you prefer lower priority projects in order to be with preferred team members if the projects that interest you the most are impossible to coordinate (so you all can be together).,"Yes, I prefer team members. No, I would like to stick with my highest ranked project"
